symbol,fin_met_count,has_error,rs_score,rs_percentile,fin_percentile,total_percentile
MSGM,9,False,98.93945634266886,95.12578616352201,99.13522012578616,194.26100628930817
PLTR,9,False,98.20840197693576,92.13836477987421,99.13522012578616,191.27358490566036
QBTS,7,False,99.8867380560132,99.21383647798741,91.82389937106919,191.03773584905662
MVST,7,False,99.6808072487644,98.89937106918238,91.82389937106919,190.72327044025155
DAVE,8,False,98.72322899505768,94.33962264150944,96.22641509433963,190.56603773584908
LFMD,8,False,98.41433278418452,93.71069182389937,96.22641509433963,189.937106918239
FENC,8,False,98.02306425041186,90.72327044025157,96.22641509433963,186.9496855345912
ATRO,8,False,97.90980230642504,89.937106918239,96.22641509433963,186.16352201257862
AS,8,False,97.87891268533772,89.62264150943396,96.22641509433963,185.8490566037736
XPEV,9,False,97.1993410214168,85.53459119496856,99.13522012578616,184.66981132075472
TDUP,6,False,99.76317957166393,99.05660377358491,85.22012578616352,184.27672955974845
DCTH,9,False,97.15815485996706,85.062893081761,99.13522012578616,184.19811320754718
LEDS,7,False,98.15691927512356,91.82389937106919,91.82389937106919,183.64779874213838
OKTA,8,False,97.40527182866558,86.79245283018868,96.22641509433963,183.0188679245283
AEVA,6,False,99.47487644151563,97.64150943396226,85.22012578616352,182.86163522012578
EYE,8,False,97.38467874794068,86.63522012578616,96.22641509433963,182.86163522012578
CURI,6,False,99.38220757825373,97.48427672955975,85.22012578616352,182.70440251572327
DUOL,8,False,97.03459637561778,84.59119496855347,96.22641509433963,180.8176100628931
QURE,6,False,98.8673805601318,94.81132075471697,85.22012578616352,180.0314465408805
ICCC,7,False,97.59060955518946,88.20754716981132,91.82389937106919,180.0314465408805
ASM,6,False,98.80560131795716,94.49685534591194,85.22012578616352,179.71698113207546
ODD,7,False,97.48764415156508,87.57861635220125,91.82389937106919,179.40251572327043
FEIM,9,False,96.32413509060956,79.0880503144654,99.13522012578616,178.22327044025155
JFIN,6,False,98.28047775947282,92.76729559748428,85.22012578616352,177.9874213836478
ADPT,6,False,98.27018121911036,92.61006289308176,85.22012578616352,177.83018867924528
CGNT,8,False,96.59184514003294,81.60377358490565,96.22641509433963,177.83018867924528
VRNA,6,False,98.10543657331137,91.19496855345912,85.22012578616352,176.41509433962264
BCRX,9,False,95.8504942339374,76.57232704402516,99.13522012578616,175.70754716981133
CPSH,6,False,97.65238879736408,88.67924528301887,85.22012578616352,173.8993710691824
UGI,8,False,96.01523887973642,77.20125786163521,96.22641509433963,173.42767295597486
AU,6,False,97.5494233937397,88.0503144654088,85.22012578616352,173.27044025157232
TOI,5,False,99.9176276771005,99.52830188679245,73.34905660377359,172.87735849056605
SE,9,False,95.51070840197694,73.74213836477988,99.13522012578616,172.87735849056605
TME,7,False,96.47858319604612,80.81761006289308,91.82389937106919,172.64150943396226
NUTX,5,False,99.67051070840198,98.74213836477988,73.34905660377359,172.09119496855345
